City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,novyy urengoy,RU,66.0833,76.6333,-9.47,93,38,9.84,scattered clouds
1,kapaa,US,22.0752,-159.319,71.58,88,0,5.75,light rain
2,avarua,CK,-21.2078,-159.775,77.05,88,75,6.91,broken clouds
3,araouane,ML,18.9048,-3.5265,75.72,17,94,11.23,overcast clouds
4,nisia floresta,BR,-6.0911,-35.2086,85.01,50,81,12.35,light rain
5,jamestown,US,42.097,-79.2353,38.79,63,100,9.22,overcast clouds
6,barrow,US,71.2906,-156.7887,15.82,86,100,9.22,overcast clouds
7,codrington,AU,-38.2667,141.9667,55.69,95,1,4.34,clear sky
8,ushuaia,AR,-54.8,-68.3,60.46,63,0,5.75,clear sky
9,saint george,US,37.1041,-113.5841,28.99,80,0,0.0,clear sky
10,cape town,ZA,-33.9258,18.4232,75.9,62,0,13.8,clear sky
11,pevek,RU,69.7008,170.3133,-0.31,78,0,2.64,clear sky
12,bathsheba,BB,13.2167,-59.5167,86.61,77,20,24.16,few clouds
13,vao,NC,-22.6667,167.4833,78.28,77,17,10.65,moderate rain
14,albany,US,42.6001,-73.9662,33.26,78,100,1.99,overcast clouds
15,rincon,US,32.296,-81.2354,46.85,87,100,8.05,overcast clouds
16,punta arenas,CL,-53.15,-70.9167,60.82,87,100,8.05,light rain
17,ostrovnoy,RU,68.0531,39.5131,20.77,88,100,9.26,overcast clouds
18,arzamas,RU,55.3949,43.8399,32.34,98,100,11.41,light snow
19,east london,ZA,-33.0153,27.9116,77.94,69,0,14.97,clear sky
20,bredasdorp,ZA,-34.5322,20.0403,70.41,69,25,14.36,scattered clouds
21,ereymentau,KZ,51.6199,73.1033,-12.87,100,86,6.85,overcast clouds
22,castro,BR,-24.7911,-50.0119,65.93,69,91,6.04,overcast clouds
23,bilma,NE,18.6853,12.9164,65.95,29,35,10.92,scattered clouds
24,poniatowa,PL,51.1798,22.1309,37.31,96,100,14.41,overcast clouds
25,rikitea,PF,-23.1203,-134.9692,76.17,80,6,8.63,clear sky
26,finschhafen,PG,-6.6024,147.8681,79.88,80,100,5.59,overcast clouds
27,syamzha,RU,60.0158,41.0614,33.01,91,100,11.27,overcast clouds
28,khatanga,RU,71.9667,102.5,-23.53,91,9,4.09,clear sky
29,chokurdakh,RU,70.6333,147.9167,-14.49,100,14,1.92,few clouds
30,carnarvon,AU,-24.8667,113.6333,85.28,41,74,18.14,broken clouds
31,norman wells,CA,65.282,-126.8329,-27.36,75,40,5.75,scattered clouds
32,new norfolk,AU,-42.7826,147.0587,55.71,74,83,1.74,broken clouds
33,mpulungu,ZM,-8.7623,31.1141,71.26,87,95,1.48,light rain
34,port alfred,ZA,-33.5906,26.891,71.19,81,0,3.0,clear sky
35,dubai,AE,25.2582,55.3047,76.93,50,0,5.75,clear sky
36,arman,RU,59.7,150.1667,3.25,75,4,11.99,clear sky
37,lorengau,PG,-2.0226,147.2712,82.08,79,96,8.66,light rain
38,airai,TL,-8.9266,125.4092,60.03,94,98,2.19,overcast clouds
39,bengkulu,ID,-3.8004,102.2655,76.19,87,100,5.5,heavy intensity rain
40,varna,BG,43.2167,27.9167,42.87,100,0,3.44,clear sky
41,la ronge,CA,55.1001,-105.2842,-16.35,69,75,8.05,broken clouds
42,luderitz,NA,-26.6481,15.1594,68.32,82,1,15.82,clear sky
43,wawa,NG,9.9022,4.4192,83.91,21,67,6.2,broken clouds
44,carauari,BR,-4.8828,-66.8958,93.06,45,20,0.92,few clouds
45,vicuna,CL,-30.0319,-70.7081,88.77,29,0,9.13,clear sky
46,semey,KZ,50.4111,80.2275,-6.25,94,31,4.12,scattered clouds
47,busselton,AU,-33.65,115.3333,63.95,71,2,10.56,clear sky
48,mahebourg,MU,-20.4081,57.7,78.26,69,20,4.61,few clouds
49,mar del plata,AR,-38.0023,-57.5575,86.83,78,40,32.01,scattered clouds
50,hermanus,ZA,-34.4187,19.2345,70.81,81,49,9.01,scattered clouds
51,namibe,AO,-15.1961,12.1522,69.96,74,82,14.07,broken clouds
52,honningsvag,NO,70.9821,25.9704,26.35,80,100,13.8,light snow
53,azare,NG,11.6765,10.1948,71.19,23,10,8.41,clear sky
54,hutchinson,US,38.0608,-97.9298,-4.49,75,100,24.16,overcast clouds
55,thompson,CA,55.7435,-97.8558,-7.44,71,75,12.66,light snow
56,sao gabriel da cachoeira,BR,-0.1303,-67.0892,87.6,66,0,4.61,clear sky
57,san diego de la union,MX,21.4667,-100.8667,65.46,41,63,7.25,broken clouds
58,longyearbyen,SJ,78.2186,15.6401,22.84,63,40,12.66,scattered clouds
59,ahipara,NZ,-35.1667,173.1667,60.01,92,18,3.98,few clouds
60,fortuna,US,40.5982,-124.1573,50.34,98,20,6.91,few clouds
61,shelburne,CA,44.0787,-80.2041,32.76,97,100,12.28,overcast clouds
62,hilo,US,19.7297,-155.09,75.27,88,100,3.44,overcast clouds
63,muros,ES,42.7762,-9.0603,61.68,97,97,20.31,overcast clouds
64,mataura,NZ,-46.1927,168.8643,52.83,99,96,1.95,overcast clouds
65,elwood,AU,-37.8817,144.983,63.93,91,39,3.69,scattered clouds
66,kimbe,PG,-5.5502,150.1429,75.54,92,58,3.0,broken clouds
67,la cruz,MX,23.9167,-106.9,74.25,38,0,0.6,clear sky
68,andilamena,MG,-17.0167,48.5833,69.03,90,100,6.73,moderate rain
69,biograd na moru,HR,43.9433,15.4519,55.76,81,96,5.82,overcast clouds
70,muli,MV,2.9167,73.5667,80.26,76,100,5.68,overcast clouds
71,ozernovskiy,RU,51.5,156.5167,32.43,96,98,9.71,snow
72,alice springs,AU,-23.7,133.8833,69.35,100,100,6.91,moderate rain
73,quatre cocos,MU,-20.2078,57.7625,78.1,68,100,7.07,overcast clouds
74,ribeira grande,PT,38.5167,-28.7,63.0,67,20,24.16,few clouds
75,butaritari,KI,3.0707,172.7902,81.32,78,89,21.39,overcast clouds
76,bayji,IQ,34.9311,43.487,56.41,64,99,6.38,overcast clouds
77,raudeberg,NO,61.9875,5.1352,38.07,37,88,25.21,light snow
78,qui nhon,VN,13.7667,109.2333,70.11,81,100,13.78,overcast clouds
79,narsaq,GL,60.9167,-46.05,16.02,65,0,8.57,clear sky
80,arcata,US,40.8665,-124.0828,50.61,97,0,0.0,mist
81,leh,IN,34.1667,77.5833,9.91,33,10,1.23,clear sky
82,guerrero negro,MX,27.9769,-114.0611,64.36,38,0,1.05,clear sky
83,puerto ayora,EC,-0.7393,-90.3518,78.76,94,89,6.98,overcast clouds
84,klaksvik,FO,62.2266,-6.589,34.72,59,100,24.49,light snow
85,tuatapere,NZ,-46.1333,167.6833,51.13,94,58,1.92,broken clouds
86,undory,RU,54.6085,48.3928,31.24,97,100,16.6,light snow
87,bougouni,ML,11.417,-7.479,87.93,11,99,8.01,overcast clouds
88,arraial do cabo,BR,-22.9661,-42.0278,78.76,69,75,13.8,broken clouds
89,coolum beach,AU,-26.5333,153.1,68.11,84,99,4.29,overcast clouds
90,aykhal,RU,66.0,111.5,-16.26,87,100,8.14,overcast clouds
91,husavik,IS,66.0449,-17.3389,18.63,85,100,6.91,light snow
92,swift current,CA,50.2834,-107.8014,-26.59,68,20,23.02,haze
93,wynyard,AU,-41.0,145.7167,52.99,81,9,5.32,clear sky
94,vaini,TO,-21.2,-175.2,77.16,88,20,5.75,few clouds
95,olafsvik,IS,64.8945,-23.7142,28.8,62,60,16.35,broken clouds
96,morant bay,JM,17.8815,-76.4093,88.72,65,8,11.34,clear sky
97,kumluca,TR,36.3703,30.2869,57.16,60,1,3.51,clear sky
98,saldanha,ZA,-33.0117,17.9442,66.34,83,38,12.93,scattered clouds
99,juneau,US,58.3019,-134.4197,20.21,79,40,0.0,scattered clouds
100,iqaluit,CA,63.7506,-68.5145,6.53,85,75,4.61,fog
101,fontenay-le-comte,FR,46.5833,-1.0,57.65,95,100,21.54,overcast clouds
102,chuy,UY,-33.6971,-53.4616,78.76,48,13,14.23,few clouds
103,dikson,RU,73.5069,80.5464,-10.03,94,100,6.33,overcast clouds
104,dayong,CN,25.0209,118.2898,47.52,64,0,4.43,clear sky
105,nishihara,JP,26.1842,127.7558,58.28,56,100,29.93,overcast clouds
106,roald,NO,62.5833,6.1333,39.76,81,75,3.44,broken clouds
107,kodiak,US,57.79,-152.4072,36.91,87,100,34.52,moderate rain
108,lebu,CL,-37.6167,-73.65,62.42,66,81,10.27,broken clouds
109,agadez,NE,19.75,10.25,61.9,26,1,10.18,clear sky
110,mulki,IN,13.1,74.8,78.08,73,5,0.0,clear sky
111,kaitangata,NZ,-46.2817,169.8464,49.05,96,41,2.73,scattered clouds
112,coihaique,CL,-45.5752,-72.0662,57.81,50,40,14.97,light rain
113,sioux lookout,CA,50.1001,-91.917,-9.33,77,100,6.91,light snow
114,moron,AR,-34.6534,-58.6198,91.02,49,15,9.53,few clouds
115,ahmadpur east,PK,29.1431,71.2598,60.94,21,0,4.9,clear sky
116,ponnani,IN,10.767,75.9252,76.32,61,100,4.59,overcast clouds
117,kalabo,ZM,-14.97,22.6814,71.94,74,96,10.67,light rain
118,piranhas,BR,-16.4269,-51.8222,87.08,52,24,2.75,few clouds
119,west fargo,US,46.875,-96.9004,-14.75,76,100,17.27,haze
120,kargasok,RU,59.0556,80.8572,-22.38,99,50,5.97,scattered clouds
121,tasiilaq,GL,65.6145,-37.6368,14.16,56,2,6.24,clear sky
122,nikolskoye,RU,59.7035,30.7861,35.8,93,100,7.96,overcast clouds
123,kununurra,AU,-15.7667,128.7333,78.78,89,100,5.75,light rain
124,saint-philippe,RE,-21.3585,55.7679,80.19,77,99,9.51,overcast clouds
125,somerset,US,40.5668,-74.5496,44.22,84,100,5.75,moderate rain
126,hithadhoo,MV,-0.6,73.0833,81.93,71,100,17.43,overcast clouds
127,atuona,PF,-9.8,-139.0333,78.71,78,18,19.3,light rain
128,laguna,US,38.421,-121.4238,44.58,92,100,1.99,mist
129,el vigia,VE,8.6219,-71.6506,83.3,73,35,5.7,scattered clouds
130,severo-kurilsk,RU,50.6789,156.125,31.93,77,100,5.21,overcast clouds
131,tsiroanomandidy,MG,-18.7667,46.0333,68.85,89,86,3.4,overcast clouds
132,nanortalik,GL,60.1432,-45.2371,22.24,61,0,4.16,clear sky
133,rockhampton,AU,-23.3833,150.5,67.89,73,78,4.61,broken clouds
134,lata,PT,40.1629,-8.3327,61.07,93,99,3.53,overcast clouds
135,bhongir,IN,17.5108,78.8889,65.5,53,46,1.68,scattered clouds
136,yagoua,CM,10.3411,15.2329,77.0,23,100,6.96,overcast clouds
137,okhotsk,RU,59.3833,143.3,7.41,82,31,8.52,scattered clouds
138,yulara,AU,-25.2406,130.9889,67.17,80,97,11.81,overcast clouds
139,port elizabeth,ZA,-33.918,25.5701,79.09,65,0,5.75,clear sky
140,santa marta,CO,11.2408,-74.199,86.05,72,20,5.75,few clouds
141,fort morgan,US,40.2503,-103.8,-14.15,64,100,27.63,haze
142,porto santo,PT,33.072,-16.3415,68.38,77,40,9.22,scattered clouds
143,aklavik,CA,68.2191,-135.0107,-5.8,77,100,4.61,light snow
144,hobart,AU,-42.8794,147.3294,56.05,92,40,4.61,scattered clouds
145,lompoc,US,34.6391,-120.4579,64.78,73,75,9.22,broken clouds
146,lacolle,CA,45.0834,-73.3659,31.8,84,100,4.45,overcast clouds
147,kamalpur,IN,24.2,91.8333,60.89,80,30,1.05,scattered clouds
148,esperance,AU,-33.8667,121.9,58.87,76,37,9.8,scattered clouds
149,provideniya,RU,64.3833,-173.3,14.32,65,1,20.42,clear sky
150,georgetown,MY,5.4112,100.3354,79.9,91,20,3.44,few clouds
151,victoria,HK,22.2855,114.1577,65.25,36,0,11.01,clear sky
152,pacific grove,US,36.6177,-121.9166,52.09,88,0,4.61,clear sky
153,ribas do rio pardo,BR,-20.4431,-53.7592,89.33,35,14,8.66,few clouds
154,nouadhibou,MR,20.931,-17.0347,82.38,24,0,6.91,clear sky
155,yar-sale,RU,66.8333,70.8333,-10.25,91,7,10.49,clear sky
156,maues,BR,-3.3836,-57.7186,76.95,85,100,0.51,overcast clouds
157,gharghoda,IN,22.1667,83.35,61.79,32,51,2.28,broken clouds
158,huilong,CN,31.8111,121.655,27.93,36,1,19.98,clear sky
159,saskylakh,RU,71.9167,114.0833,-16.53,89,14,13.85,few clouds
160,sao sebastiao,BR,-23.76,-45.4097,71.83,89,83,5.95,broken clouds
161,paris,FR,48.8534,2.3488,55.15,95,100,12.66,light rain
162,paamiut,GL,61.994,-49.6678,12.87,60,0,8.32,clear sky
163,kavieng,PG,-2.5744,150.7967,81.95,78,86,10.74,overcast clouds
164,bambous virieux,MU,-20.3428,57.7575,78.22,69,20,4.61,few clouds
165,acapulco,MX,16.8634,-99.8901,78.62,65,0,5.75,clear sky
166,chunskiy,RU,56.0815,99.6342,17.62,76,100,11.54,overcast clouds
167,mtwara,TZ,-10.2667,40.1833,83.53,78,40,13.8,scattered clouds
168,aktash,RU,50.3,87.7333,-6.63,97,100,2.82,overcast clouds
169,aksu,CN,41.1231,80.2644,21.31,50,36,1.81,scattered clouds
170,yangjiang,CN,21.85,111.9667,55.85,39,0,6.33,clear sky
171,ponta do sol,PT,32.6667,-17.1,73.0,86,10,3.11,clear sky
172,bluff,NZ,-46.6,168.3333,55.65,89,91,4.54,overcast clouds
173,bijie,CN,27.3125,105.2942,38.16,97,100,2.35,overcast clouds
174,porto novo,BJ,6.4965,2.6036,85.82,60,61,8.77,broken clouds
175,tuktoyaktuk,CA,69.4541,-133.0374,-11.2,77,40,8.05,scattered clouds
176,verkhnyaya inta,RU,65.9811,60.3094,-3.91,87,88,8.46,overcast clouds
177,woodward,US,36.4337,-99.3904,0.63,88,100,27.67,overcast clouds
178,cherskiy,RU,68.75,161.3,-0.85,71,0,1.99,clear sky
179,kalianget,ID,-7.05,113.9333,79.74,83,100,7.76,light rain
180,alofi,NU,-19.0595,-169.9187,73.29,100,11,3.44,light rain
181,saint anthony,US,45.0205,-93.218,-5.22,73,0,18.41,clear sky
182,yellowknife,CA,62.456,-114.3525,-31.45,68,20,3.44,few clouds
183,urumqi,CN,43.801,87.6005,11.35,85,40,2.24,mist
184,pocao de pedras,BR,-4.6667,-44.85,87.64,58,73,3.4,broken clouds
185,rio grande,BR,-32.035,-52.0986,84.31,56,20,15.43,few clouds
186,praia da vitoria,PT,38.7333,-27.0667,64.65,59,20,19.89,few clouds
187,taoudenni,ML,22.6783,-3.9836,75.96,18,0,13.94,clear sky
188,rawson,AR,-43.3002,-65.1023,91.69,16,0,29.93,clear sky
189,ubinskoye,RU,55.3068,79.6802,-10.26,98,100,5.93,overcast clouds
190,bairiki,KI,1.3292,172.9752,80.6,83,75,18.41,broken clouds
191,esqueda,MX,30.7167,-109.5833,56.43,22,0,4.05,clear sky
192,shingu,JP,33.7333,135.9833,37.22,74,31,14.5,scattered clouds
193,san patricio,US,28.017,-97.5169,60.66,71,36,7.27,scattered clouds
194,qaanaaq,GL,77.484,-69.3632,-20.36,69,0,6.71,clear sky
195,komsomolskiy,UZ,40.4272,71.7189,36.32,80,100,4.61,fog
196,tornio,FI,65.8481,24.1466,24.82,98,100,4.88,overcast clouds
197,kloulklubed,PW,7.0419,134.2556,75.7,75,91,4.94,overcast clouds
198,derzhavinsk,KZ,51.1,66.3167,-4.14,92,26,6.26,scattered clouds
199,constantine,DZ,36.365,6.6147,56.61,67,40,8.05,scattered clouds
200,tiksi,RU,71.6872,128.8694,-9.56,94,99,6.42,overcast clouds
201,nouakchott,MR,18.0858,-15.9785,89.53,23,0,14.03,clear sky
202,kalaswala,PK,32.2009,74.6491,48.16,32,15,3.04,few clouds
203,beringovskiy,RU,63.05,179.3167,28.08,60,5,31.81,clear sky
204,haines junction,CA,60.7522,-137.5108,-27.45,68,100,2.3,overcast clouds
205,port hardy,CA,50.6996,-127.4199,26.78,63,75,21.85,broken clouds
206,luena,AO,-11.7833,19.9167,62.98,95,95,3.8,overcast clouds
207,sehore,IN,23.2,77.0833,66.47,51,0,4.79,clear sky
208,merauke,ID,-8.4667,140.3333,79.72,86,100,4.54,overcast clouds
209,baiao,BR,-2.7906,-49.6717,81.36,86,86,2.17,overcast clouds
210,vanavara,RU,60.34,102.2797,21.27,96,100,5.86,light snow
211,barinas,VE,8.6226,-70.2075,92.1,35,14,7.99,few clouds
212,aksarka,RU,66.5606,67.7975,-12.53,94,16,7.92,few clouds
213,meulaboh,ID,4.1363,96.1285,78.04,81,77,3.85,broken clouds
214,chiredzi,ZW,-21.05,31.6667,73.02,58,50,1.05,scattered clouds
215,tabas,IR,33.5959,56.9244,48.42,34,54,4.61,broken clouds
216,cap malheureux,MU,-19.9842,57.6142,78.48,66,100,1.01,overcast clouds
217,ilulissat,GL,69.2167,-51.1,6.82,56,20,6.91,few clouds
218,methoni,GR,36.8197,21.7049,56.21,69,8,6.15,clear sky
219,sao joao da barra,BR,-21.6403,-41.0511,78.89,81,62,17.13,broken clouds
220,dingle,PH,10.9995,122.6711,75.11,94,95,5.77,overcast clouds
221,kamra,PK,33.7473,73.5111,44.96,26,0,8.86,clear sky
222,kirakira,SB,-10.4544,161.9205,80.42,83,100,6.42,overcast clouds
223,henties bay,NA,-22.116,14.2845,66.42,82,12,8.25,few clouds
224,upernavik,GL,72.7868,-56.1549,0.27,97,10,17.49,clear sky
225,andijon,UZ,40.7821,72.3442,36.68,79,89,2.57,overcast clouds
226,assiniboia,CA,49.6334,-105.9845,-23.98,62,100,21.85,overcast clouds
227,paita,PE,-5.0892,-81.1144,76.23,69,59,11.99,broken clouds
228,esna,EG,25.2934,32.554,61.68,42,58,14.16,broken clouds
229,callaguip,PH,18.0714,120.4867,71.29,73,98,18.39,overcast clouds
230,miandrivazo,MG,-19.5167,45.4667,75.94,84,97,3.58,overcast clouds
231,kologriv,RU,58.8275,44.3178,33.13,98,100,9.78,overcast clouds
232,tomar,PT,39.602,-8.4092,64.42,90,100,3.13,overcast clouds
233,joaima,BR,-16.6542,-41.0306,77.94,85,99,1.28,overcast clouds
234,faanui,PF,-16.4833,-151.75,80.38,77,99,18.57,light rain
235,hay river,CA,60.8156,-115.7999,-36.42,67,40,2.3,scattered clouds
236,havoysund,NO,70.9963,24.6622,26.83,91,100,8.5,light snow
237,sretensk,RU,52.2453,117.7093,-32.53,99,10,1.34,clear sky
238,golden,US,39.7555,-105.2211,0.46,73,40,11.5,scattered clouds
239,santa cruz del sur,CU,20.7147,-77.9956,83.59,51,1,9.53,light rain
240,springfield,US,37.2153,-93.2982,14.22,84,100,26.46,snow
241,havelock,US,34.8791,-76.9013,64.38,91,100,17.27,mist
242,kabo,CF,7.6994,18.629,81.79,20,80,4.97,broken clouds
243,buala,SB,-8.145,159.5921,79.43,85,100,8.23,moderate rain
244,avera,US,33.194,-82.5271,44.11,88,100,4.47,overcast clouds
245,pontes e lacerda,BR,-15.2261,-59.3353,93.7,41,12,4.45,light rain
246,port lincoln,AU,-34.7333,135.8667,60.62,83,61,10.92,broken clouds
247,kahului,US,20.8947,-156.47,69.84,88,0,9.22,clear sky
248,lagoa,PT,39.05,-27.9833,59.63,73,99,26.53,overcast clouds
249,maridi,SS,4.9158,29.4742,83.95,27,79,3.31,broken clouds
250,teya,RU,60.3778,92.6267,-6.0,91,96,9.08,overcast clouds
251,salalah,OM,17.0151,54.0924,77.09,73,40,3.44,scattered clouds
252,diamantino,BR,-14.4086,-56.4461,88.3,57,85,2.57,overcast clouds
253,arlit,NE,18.7369,7.3853,68.4,21,11,18.52,few clouds
254,tenosique,MX,17.4833,-91.4333,79.65,72,10,6.69,clear sky
255,hofn,IS,64.2539,-15.2082,24.82,50,0,18.41,clear sky
256,coquimbo,CL,-29.9533,-71.3436,67.73,72,0,14.97,clear sky
257,zaraza,VE,9.3503,-65.3245,88.25,45,23,9.89,few clouds
258,manggar,ID,-2.8833,108.2667,80.26,81,100,15.61,overcast clouds
259,nizza monferrato,IT,44.7738,8.3539,56.28,97,97,0.94,overcast clouds
260,valparaiso,CL,-33.0393,-71.6273,80.83,53,0,8.05,clear sky
261,barra patuca,HN,15.8,-84.2833,82.69,63,10,9.78,clear sky
262,aleysk,RU,52.4926,82.7822,8.2,93,100,13.31,overcast clouds
263,washim,IN,20.1,77.15,69.98,42,0,5.17,clear sky
264,mayo,US,38.8876,-76.5119,41.95,91,100,9.22,moderate rain
265,northam,GB,51.0333,-4.2167,51.39,98,99,13.49,overcast clouds
266,torbay,CA,47.6666,-52.7314,32.58,65,75,16.11,broken clouds
267,jucas,BR,-6.5253,-39.5275,88.38,46,100,6.31,overcast clouds
268,tooele,US,40.5308,-112.2983,22.14,74,100,9.22,overcast clouds
269,samarai,PG,-10.6167,150.6667,83.08,79,93,8.48,overcast clouds
270,dahuk,IQ,36.8695,42.994,48.25,78,21,1.05,few clouds
271,sao filipe,CV,14.8961,-24.4956,78.06,57,0,9.6,clear sky
272,dengzhou,CN,37.8086,120.7508,24.66,51,100,25.79,overcast clouds
273,oranjemund,NA,-28.55,16.4333,67.84,84,10,12.77,clear sky
274,santa isabel do rio negro,BR,-0.4139,-65.0192,82.4,84,62,2.3,broken clouds
275,loudi,CN,27.7344,111.9944,45.68,31,97,2.86,overcast clouds
276,sayansk,RU,54.1088,102.1648,16.36,96,100,3.4,snow
277,la crosse,US,43.8014,-91.2396,-1.59,76,20,14.97,few clouds
278,punta alta,AR,-38.8759,-62.0736,94.53,33,100,11.52,overcast clouds
279,konevo,RU,62.1215,39.3192,33.04,96,100,10.58,overcast clouds
280,bismarck,US,46.8083,-100.7837,-14.96,70,100,28.77,overcast clouds
281,hervey bay,AU,-25.2986,152.8535,70.84,66,92,5.03,overcast clouds
282,riyadh,SA,24.6877,46.7219,69.94,23,98,7.45,overcast clouds
283,marawi,PH,7.9986,124.2928,68.49,96,92,0.78,heavy intensity rain
284,fort nelson,CA,58.8053,-122.7002,-19.79,91,100,1.83,overcast clouds
285,necochea,AR,-38.5473,-58.7368,88.66,32,75,11.34,broken clouds
286,dandong,CN,40.1292,124.3947,4.08,69,10,15.57,clear sky
287,caravelas,BR,-17.7125,-39.2481,75.51,91,100,9.15,heavy intensity rain
288,zyryanovsk,KZ,49.7386,84.2719,-5.71,97,100,2.08,overcast clouds
289,morgantown,US,39.6295,-79.9559,42.31,87,100,5.75,overcast clouds
290,kachug,RU,53.9606,105.8817,7.52,96,99,1.61,light snow
291,turukhansk,RU,65.8167,87.9833,-9.89,96,100,10.04,overcast clouds
292,lepe,ES,37.2548,-7.2043,63.1,70,6,2.48,clear sky
293,sarangani,PH,5.4033,125.4636,83.16,77,50,11.74,scattered clouds
294,keti bandar,PK,24.1447,67.4497,71.4,39,0,10.56,clear sky
295,panjakent,TJ,39.4952,67.6093,31.06,86,30,0.63,scattered clouds
296,san nicolas,PH,18.1725,120.5953,70.63,75,97,16.93,overcast clouds
297,vardo,NO,70.3705,31.1107,28.38,86,75,19.57,light snow
298,goderich,CA,43.7501,-81.7165,37.9,64,100,13.8,overcast clouds
299,vallenar,CL,-28.5708,-70.7581,87.82,24,0,10.42,clear sky
300,burgersdorp,ZA,-30.9977,26.3286,80.53,33,63,8.9,broken clouds
301,kavaratti,IN,10.5669,72.642,81.63,65,48,4.85,scattered clouds
302,palmerston,AU,-12.486,130.9833,80.58,92,100,14.97,heavy intensity shower rain
303,rzhyshchiv,UA,49.9689,31.0463,33.67,83,100,6.44,overcast clouds
304,jacareacanga,BR,-6.2222,-57.7528,75.06,91,100,0.09,overcast clouds
305,polson,US,47.6936,-114.1632,-16.51,88,6,1.61,clear sky
306,russell,US,32.3502,-85.1999,47.48,93,100,3.44,overcast clouds
307,kharp,RU,66.8014,65.8081,-12.51,90,14,1.72,few clouds
308,vega de alatorre,MX,20.0333,-96.6333,74.44,67,4,3.67,clear sky
309,kalakamati,BW,-20.5929,27.3121,69.28,57,2,14.76,clear sky
310,port macquarie,AU,-31.4333,152.9167,64.89,93,100,8.57,light rain
311,naryan-mar,RU,67.6713,53.087,-9.51,99,40,5.61,scattered clouds
312,port arthur,CN,38.8,121.2667,16.02,65,100,26.93,overcast clouds
313,butajira,ET,8.1167,38.3667,65.39,48,91,3.31,overcast clouds
314,dwarka,IN,22.2394,68.9678,72.68,38,0,11.59,clear sky
315,diego de almagro,CL,-26.3667,-70.05,82.69,21,0,11.34,clear sky
316,kuytun,RU,54.3419,101.5036,19.26,96,100,4.27,snow
317,tela,HN,15.7833,-87.45,79.03,74,85,5.48,overcast clouds
318,marquette,US,46.5333,-87.6335,24.82,90,100,6.31,light snow
319,teahupoo,PF,-17.8333,-149.2667,73.36,80,77,18.7,light rain
320,changde,CN,29.0464,111.6783,43.07,26,98,3.4,overcast clouds
321,barddhaman,IN,23.25,87.85,64.45,29,33,5.26,scattered clouds
322,udachnyy,RU,66.4167,112.4,-20.9,91,70,7.78,broken clouds
323,cabo san lucas,MX,22.8909,-109.9124,73.51,61,0,4.61,clear sky
324,arcelia,MX,18.2833,-100.2667,83.95,38,0,3.53,clear sky
325,grand-lahou,CI,5.1367,-5.0242,82.56,66,40,9.17,scattered clouds
326,gayny,RU,60.3071,54.3241,20.8,94,100,10.6,light snow
327,constitucion,CL,-35.3333,-72.4167,68.4,67,13,9.78,few clouds
328,araxa,BR,-19.5933,-46.9406,80.56,47,0,6.91,clear sky
329,santiago,CL,-33.4569,-70.6483,83.55,32,0,10.36,clear sky
330,kruisfontein,ZA,-34.0033,24.7314,73.96,51,0,15.99,clear sky
331,hutang,CN,31.5333,119.4833,29.52,33,0,6.8,clear sky
332,vila franca do campo,PT,37.7167,-25.4333,65.19,88,100,14.61,light rain
333,aves,PT,41.3703,-8.4101,61.34,95,100,7.96,overcast clouds
334,san vicente,AR,-26.6167,-54.1333,83.55,36,39,3.22,scattered clouds
